"","bhat.donor.mu"
"modmat.donorrecipientfit:DonorAC_002",4.77269039972176
"modmat.donorrecipientfit:DonorAC_007",5.65814883204599
"modmat.donorrecipientfit:DonorAC_008",4.69622714078274
"modmat.donorrecipientfit:DonorAC_015",5.07709935945769
"modmat.donorrecipientfit:DonorAC_039",4.2692103618218
"modmat.donorrecipientfit:DonorAC_045",5.28272717389459
"modmat.donorrecipientfit:DonorAC_047",4.23804737365421
"modmat.donorrecipientfit:DonorAC_052",4.22351149834323
"modmat.donorrecipientfit:DonorAC_054",4.09123814334319
"modmat.donorrecipientfit:DonorAC_061",4.1057958474433
"modmat.donorrecipientfit:DonorAC_064",4.43426967639184
"modmat.donorrecipientfit:DonorAC_068",6.23559830942059
"modmat.donorrecipientfit:DonorAC_071",5.25685148674189
"modmat.donorrecipientfit:DonorAC_089",4.90369211773428
"modmat.donorrecipientfit:DonorAC_091",4.74183611675465
"modmat.donorrecipientfit:DonorAC_094",5.32401290348019
"modmat.donorrecipientfit:DonorAC_096",4.4964320625593
"modmat.donorrecipientfit:DonorAC_097",5.60108501616276
"modmat.donorrecipientfit:DonorAC_102",5.25163211080747
"modmat.donorrecipientfit:DonorAC_103",5.6703820222749
"modmat.donorrecipientfit:DonorAC_107",4.62180452118925
"modmat.donorrecipientfit:DonorAC_124",4.40893232163164
"modmat.donorrecipientfit:DonorAC_125",5.07160332635511
"modmat.donorrecipientfit:DonorAC_150",4.65198732484407
"modmat.donorrecipientfit:DonorAC_156",4.12311378443544
"modmat.donorrecipientfit:DonorAC_159",4.34421480569099
"modmat.donorrecipientfit:DonorAC_160",5.44421153835852
"modmat.donorrecipientfit:DonorAC_161",4.5027787694577
"modmat.donorrecipientfit:DonorAC_165",5.04452307963365
"modmat.donorrecipientfit:DonorAC_168",4.002714910695
"modmat.donorrecipientfit:DonorAC_169",4.78767428849004
"modmat.donorrecipientfit:DonorAC_170",5.18690069199948
"modmat.donorrecipientfit:DonorAC_172",4.41531989663237
"modmat.donorrecipientfit:DonorAC_177",4.89889357959258
"modmat.donorrecipientfit:DonorAC_179",4.1165220303891
"modmat.donorrecipientfit:DonorAC_186",4.91284208445142
"modmat.donorrecipientfit:DonorAC_195",5.07850887672947
"modmat.donorrecipientfit:DonorAC_198",4.45697126888291
"modmat.donorrecipientfit:DonorAC_207",4.84558261097492
"modmat.donorrecipientfit:DonorAC_216",5.44765031268077
