Quercus_Sire,Sire,N,Full Rain,Rain Reduction 
244,4,5, 14.237080  ,5.334262
245,6,6,-21.209304, -7.157235
246,7,9,-13.139149,  0.038869
247,11,8,11.924414,  2.335403
248,21,7,33.35621, -1.082051
249,23,9,1.01587, -3.372394
250,38,5,-25.978902,  3.104730
251,40,8,-7.546184,  3.384348
252,41,8,-27.874606,  1.685906
253,47,10,16.86303,  1.496415
254,57,7,-7.762331, -5.935158
255,64,5,1.776128,  3.763940
256,77,9,12.175127,  6.386263
257,78,5,-9.966814,  1.952099
258,89,4,46.404928,  5.118183
259,94,9,-12.682208,-10.101748
260,95,7,16.427855, -2.941292
261,96,10,-42.226258,  0.451599
