"","Donor","BV_BB22","BV_BB23"
"1","001",0.367282519235974,30.9611744059587
"2","005",0.539700509293851,12.1593090658435
"3","011",0.388622726269451,17.4901637654817
"4","014",0.434777653684999,23.6176433241331
"5","015",0.410092925290373,15.1625060340471
"6","023",0.449328051145955,11.831020274671
"7","026",0.865991698453002,17.2253922685893
"8","028",0.664220548681361,24.3624256414488
"9","038",0.752400696179879,21.1063565915798
"10","047",0.440107769443412,15.0830679903864
"11","051",0.716808203849499,16.4470331560222
"12","055",0.562591919204426,26.3752564685348
"13","057",0.801744100080951,21.8701847723435
"14","065",0.533676752459862,21.875707415996
"15","066",0.734940469600794,23.4049009184074
"16","073",0.368172287363078,11.9118437576912
"17","075",0.380018202039288,18.6645267835893
"18","091",0.34118245950416,12.0921029163451
"19","099",0.315130771144938,16.2485087440476
"20","100",0.400786173608189,17.380190320484
"21","107",0.621813069637986,21.2847431181377
"22","108",0.504573786873896,15.3330414419349
"23","115",0.455848718474546,18.7428814569974
"24","122",0.410771754032829,14.3884518807327
"25","125",0.388292503700767,19.3007061227626
"26","130",0.431606199753767,14.8042014286196
"27","141",0.39370644103566,20.6180115424028
"28","142",1.52915741610129,13.7598795208273
"29","144",0.390145875777103,11.4719732701338
"30","162",0.357834744120045,12.2038867354426
"31","167",0.342135421158263,20.9775892696796
"32","168",0.570985951643584,17.4754150951081
"33","169",0.677099005186584,15.7432356666303
"34","171",0.632158164614883,14.3954389107157
"35","173",0.32577811654088,20.2726918128064
"36","174",0.321302521823772,17.9381174083395
"37","175",0.671454254528326,20.9165291561868
"38","176",0.40597305267897,20.9331703375239
"39","177",0.540291636026542,17.5570668397635
"40","182",1.34490736746687,21.5917821865863
"41","188",0.497058619745674,12.4902399942993
"42","194",0.430448766622463,14.9077662582092
"43","196",1.16578110344947,22.8087593718232
"44","197",0.796454639634987,27.3713551656228
"45","198",0.609395904652585,17.4895690852754
"46","202",0.715797575014782,17.0936588997435
"47","213",0.713450288188771,23.4488074456637
"48","215",0.497371502298187,17.7486995509867
"49","217",0.859446987732011,18.4919328379626
