"","Donor","BV_BO22","BV_BO23"
"1","001",0.415469852863532,3.38826292033894
"2","005",0.473295940120633,3.19744420857088
"3","013",0.511655766267693,2.73183747314335
"4","022",0.486311199381271,3.086981935712
"5","029",0.475540672373268,2.59287024461522
"6","032",0.713719938496778,2.57904208494964
"7","033",0.516540991186221,4.19183691231744
"8","038",0.495774761313046,2.70212551788538
"9","039",0.599565323392976,2.8166801031079
"10","040",0.425124327416657,2.95085143131813
"11","058",0.834221668822333,2.8052119181398
"12","065",0.577677785314684,3.56755689259706
"13","069",0.507155005033169,2.92016382916239
"14","070",0.424769619613825,2.85199949213829
"15","073",0.475007660766781,2.9552164930657
"16","074",0.530293323750608,3.45173789593684
"17","088",0.538286616350961,3.01422965106084
"18","096",0.526923908986041,2.54773296157795
"19","101",0.674778526939894,2.73822776337495
"20","106",0.636450616308871,2.60947628532719
"21","109",0.444251530966467,3.1944484390084
"22","119",0.68283323447737,2.65295208238861
"23","128",0.415533318241801,3.25469742169241
"24","130",0.405781398447857,3.10138792922431
"25","143",0.49618413952997,2.97162634355488
"26","149",0.451314577744197,3.16293895113828
"27","151",0.515567952575764,2.61639486170208
"28","153",0.482879425126653,2.77636787948839
"29","162",0.554506590568117,3.24969782164024
"30","163",0.562728043633181,3.48896382631913
"31","168",0.557718118988495,3.31060672697191
"32","170",0.496301198826108,3.38445813744976
"33","173",0.515579580243618,2.66220737318849
"34","177",0.405756668668049,4.48113308893051
"35","183",0.377790672692986,4.09512125061596
"36","185",0.542957737225291,2.77834336695846
"37","187",0.445496329556043,3.71217502681524
"38","188",0.580804305602904,3.72671358351918
"39","189",0.540442539570323,3.09476302257033
"40","192",0.971482410614562,2.74928886235373
"41","194",0.741909192980011,2.7149640868854
"42","198",0.405828364979397,2.73503159955774
"43","199",0.652876434651034,3.37983315698627
"44","201",0.525699915858545,3.60206071518927
